tick,year,population,births_cum,births_window,deaths_window,deaths_oldAge_window,deaths_starvation_window,deaths_violence_window,deaths_disease_window,community_count,community_mean_size,mean_pairwise_trust,wealth_gini,coop_window,antag_window,feud_active_dyads,mean_gene_sociability,mean_gene_risk,mean_gene_aggression,mean_gene_loyalty,mean_gene_greed,mean_gene_industriousness,mean_gene_curiosity
0,0,24,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0.5711,0.4018,0.4652,0.4793,0.4484,0.4992,0.5864
100,1,40,16,16,0,0,0,0,0,0,0.0000,0.7836,0.0290,43,4,1,0.5657,0.4288,0.4532,0.5123,0.4143,0.4975,0.5901
200,2,26,24,8,22,22,0,0,0,0,0.0000,0.6602,0.0684,35,2,0,0.5420,0.4981,0.4695,0.5280,0.3626,0.5050,0.5714
300,3,31,42,18,13,12,0,0,1,0,0.0000,0.6051,0.0251,45,1,0,0.5014,0.5189,0.5084,0.5454,0.3708,0.4862,0.5401
400,4,33,55,13,11,11,0,0,0,1,5.0000,0.6247,0.0518,34,0,0,0.4757,0.5058,0.4830,0.5567,0.3442,0.4698,0.5713
500,5,31,69,14,16,16,0,0,0,1,6.0000,0.5987,0.0416,38,0,0,0.4554,0.4907,0.4681,0.5454,0.3020,0.4990,0.6067
600,6,35,87,18,14,14,0,0,0,2,4.5000,0.5874,0.0554,29,1,0,0.4409,0.4986,0.4814,0.5490,0.2940,0.5154,0.6336
700,7,44,109,22,13,13,0,0,0,3,5.0000,0.6040,0.0306,37,0,0,0.4457,0.5008,0.4737,0.5687,0.2940,0.5400,0.6229
800,8,46,126,17,15,15,0,0,0,4,7.2500,0.6097,0.0346,36,0,0,0.4405,0.5012,0.4653,0.5676,0.2967,0.5461,0.6231
900,9,43,143,17,20,19,0,0,1,5,5.0000,0.5886,0.0244,40,0,0,0.4503,0.4946,0.4745,0.5815,0.2886,0.5453,0.6229
1000,10,35,156,13,21,21,0,0,0,5,3.8000,0.6377,0.0510,32,0,0,0.4509,0.5103,0.4674,0.5770,0.2806,0.5314,0.6226
1100,11,33,172,16,18,18,0,0,0,4,4.5000,0.5969,0.0540,28,0,0,0.4651,0.5113,0.4543,0.5907,0.2903,0.5319,0.5931
1200,12,38,191,19,14,14,0,0,0,3,5.6667,0.6247,0.0336,52,0,0,0.4732,0.5019,0.4520,0.5969,0.2890,0.5229,0.5956
1300,13,37,206,15,16,16,0,0,0,4,5.0000,0.5952,0.0458,28,0,0,0.4661,0.4868,0.4520,0.6027,0.2865,0.5122,0.5916
1400,14,43,224,18,12,12,0,0,0,2,5.5000,0.5744,0.0614,54,0,0,0.4616,0.4948,0.4629,0.6085,0.2946,0.5134,0.5896
1500,15,41,243,19,21,21,0,0,0,0,0.0000,0.5946,0.0544,43,0,0,0.4493,0.4881,0.4544,0.6121,0.2854,0.5170,0.5905
